cosmo_name,smiles,inchi,cosmo_conf,source
"2,6-dimethylpyridine",Cc1nc(C)ccc1,"InChI=1/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",1,COSMObase
perfluorooctane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1/C8F18/c9-1(10,3(13,14)5(17,18)7(21,22)23)2(11,12)4(15,16)6(19,20)8(24,25)26",1,COSMObase
2-phenylethanol,OCCc1ccccc1,"InChI=1/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2",5,COSMObase
octene,CCCCCCC=C,"InChI=1/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3",2,COSMObase
"2,4,4-trimethyl-1-pentene",CC(C)(C)CC(C)=C,"InChI=1/C8H16/c1-7(2)6-8(3,4)5/h1,6H2,2-5H3",1,COSMObase
n-hexylacetate,CCCCCCOC(C)=O,"InChI=1/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3",6,COSMObase
1-bromooctane,CCCCCCCCBr,"InChI=1/C8H17Br/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3",4,COSMObase
1-fluorooctane,FCCCCCCCC,"InChI=1/C8H17F/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3",4,COSMObase
"2,3,4-trimethylpentane",CC(C)C(C)C(C)C,"InChI=1/C8H18/c1-6(2)8(5)7(3)4/h6-8H,1-5H3",1,COSMObase
"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,"InChI=1/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",1,COSMObase
diethyleneglycolmonobutylether,OCCOCCOCCCC,"InChI=1/C8H18O3/c1-2-3-5-10-7-8-11-6-4-9/h9H,2-8H2,1H3",26,COSMObase
"1,1'-oxybis-2-ethoxy-ethane",CCOCCOCCOCC,"InChI=1/C8H18O3/c1-3-9-5-7-11-8-6-10-4-2/h3-8H2,1-2H3",16,COSMObase
"2,5,8,11-tetraoxadodecane",COCCOCCOCCOC,"InChI=1/C8H18O4/c1-9-3-5-11-7-8-12-6-4-10-2/h3-8H2,1-2H3",29,COSMObase
"2,2'-oxybis(2,1-ethanediyloxy)bisethanol",OCCOCCOCCOCCO,"InChI=1/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2",15,COSMObase
octamethylcyclotetrasiloxane,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,"InChI=1/C8H24O4Si4/c1-13(2)9-14(3,4)11-16(7,8)12-15(5,6)10-13/h1-8H3",7,COSMObase
phenylacetonitrile,N#CCc1ccccc1,"InChI=1/C8H7N/c9-7-6-8-4-2-1-3-5-8/h1-5H,6H2",2,COSMObase
ethylbenzoate,CCOC(=O)c1ccccc1,"InChI=1/C9H10O2/c1-2-11-9(10)8-6-4-3-5-7-8/h3-7H,2H2,1H3",2,COSMObase
aceticacidphenylmethylester,CC(OCc1ccccc1)=O,"InChI=1/C9H10O2/c1-8(10)11-7-9-5-3-2-4-6-9/h2-6H,7H2,1H3",4,COSMObase
"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1,"InChI=1/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",1,COSMObase
1-nonene,CCCCCCCC=C,"InChI=1/C9H18/c1-3-5-7-9-8-6-4-2/h3H,1,4-9H2,2H3",3,COSMObase
"n,n-dibutylformamide",CCCCN(CCCC)C=O,"InChI=1/C9H19NO/c1-3-5-7-10(9-11)8-6-4-2/h9H,3-8H2,1-2H3",6,COSMObase
"2,2,5-trimethylhexane",CC(C)CCC(C)(C)C,"InChI=1/C9H20/c1-8(2)6-7-9(3,4)5/h8H,6-7H2,1-5H3",1,COSMObase
1h-indene,C(C=Cc1cc2)c1cc2,"InChI=1/C9H8/c1-2-5-9-7-3-6-8(9)4-1/h1-6H,7H2",1,COSMObase
carbonicdichloride,ClC(Cl)=O,InChI=1/CCl2O/c2-1(3)4,1,COSMObase
ch2clbr,ClCBr,InChI=1/CH2BrCl/c2-1-3/h1H2,1,COSMObase
diiodomethane,ICI,InChI=1/CH2I2/c2-1-3/h1H2,1,COSMObase
formamide,O=CN,"InChI=1/CH3NO/c2-1-3/h1H,(H2,2,3)/f/h2H2",1,COSMObase
so2,O=S=O,InChI=1/O2S/c1-3-2,1,COSMObase
